Datum,Last
2023-06-22T16:30+02:00,57624
2023-06-22T16:45+02:00,57715.5
2023-06-22T17:00+02:00,58549.4
2023-06-22T17:15+02:00,58859.2
2023-06-22T17:30+02:00,58890.3
2023-06-22T17:45+02:00,58970
2023-06-22T18:00+02:00,58869.2
2023-06-22T18:15+02:00,58538.5
2023-06-22T18:30+02:00,58872.5
2023-06-22T18:45+02:00,59060.8
2023-06-22T19:00+02:00,59298.9
2023-06-22T19:15+02:00,58302
2023-06-22T19:30+02:00,57498.3
2023-06-22T19:45+02:00,56240.9
2023-06-22T20:00+02:00,55287.3
2023-06-22T20:15+02:00,54108.6
2023-06-22T20:30+02:00,53080.3
2023-06-22T20:45+02:00,52861.6
2023-06-22T21:00+02:00,51979.9
2023-06-22T21:15+02:00,52237.2
2023-06-22T21:30+02:00,51087.8
2023-06-22T21:45+02:00,50795.1
2023-06-22T22:00+02:00,50686.2
2023-06-22T22:15+02:00,50689.7
2023-06-22T22:30+02:00,49798.9
2023-06-22T22:45+02:00,48990.4
2023-06-22T23:00+02:00,47658.6
2023-06-22T23:15+02:00,47133.4
2023-06-22T23:30+02:00,46863.6
2023-06-22T23:45+02:00,46436.3
2023-06-23T00:00+02:00,46480
2023-06-23T00:15+02:00,45966.2
2023-06-23T00:30+02:00,45726
2023-06-23T00:45+02:00,45433.1
2023-06-23T01:00+02:00,44669.2
2023-06-23T01:15+02:00,44304
2023-06-23T01:30+02:00,43833.7
2023-06-23T01:45+02:00,43201.7
2023-06-23T02:00+02:00,42834.3
2023-06-23T02:15+02:00,42602.6
2023-06-23T02:30+02:00,42375.6
2023-06-23T02:45+02:00,42407.4
2023-06-23T03:00+02:00,42239.7
2023-06-23T03:15+02:00,42019.4
2023-06-23T03:30+02:00,42108.4
2023-06-23T03:45+02:00,42036
2023-06-23T04:00+02:00,42077
2023-06-23T04:15+02:00,42003.9
2023-06-23T04:30+02:00,42056.8
2023-06-23T04:45+02:00,42288.3
2023-06-23T05:00+02:00,43332.1
2023-06-23T05:15+02:00,43626.3
2023-06-23T05:30+02:00,44646.4
2023-06-23T05:45+02:00,46002.8
2023-06-23T06:00+02:00,48439.6
2023-06-23T06:15+02:00,50084.1
2023-06-23T06:30+02:00,51422.8
